# group: 1 2 3 1 2 3 
# component: primary primary primary secondary secondary secondary 
# name: rv rv rv rv rv rv 

-23.6104124607 104.432415439 97.3938659129 142.023729576 -8.92862548241 63.1083228851 1449077.45581 
-7.46519592525 88.2972293869 -134.784689173 -86.1047791646 -27.7958663956 -46.9706020185 3577080.52352 
-144.846047538 185.356200373 -95.7362437093 38.7951997546 -19.8695360499 160.97655787 4126450.33433 
80.0455726016 161.541359104 193.872302756 -112.950684954 160.356561719 131.68865481 6639670.14173 
-60.6118801272 38.6817092377 156.249464947 118.123597806 3.60265776894 72.173549548 1568657.12633 
59.3897041934 133.77597276 -194.739641412 10.1388076307 141.780607077 -106.278038908 7838514.67274 
-44.867731934 -81.8481807823 -41.5446447704 -33.2038329514 178.32440375 153.346352222 1551957.95123 
-180.249474093 -118.744700145 -85.8760136523 156.291602345 -150.495196705 119.102486752 6028207.57625 
-130.541819265 -107.478527968 -46.2867267976 55.8865229287 -160.399159095 -5.10060072766 5511728.43363 
139.275002385 18.1339715389 132.775529408 -170.787526023 -141.540430728 -67.5084858908 1854155.83325 
33.8316315432 70.2228091493 166.342838516 -38.0633831914 66.8035767026 20.24554538 1848425.03345 
111.623386539 124.607457695 -81.4015112271 79.9064584894 63.7636530641 175.237747659 3706660.06664 
10.4052440374 152.200558758 99.2423806026 -150.829413372 131.94291158 -98.4142473696 4056314.44236 
-142.212366039 95.6769338601 -56.5123356641 -20.1196612687 -145.728603515 -128.850779813 4763781.90536 
185.342106511 73.318979113 188.863026345 128.969522382 58.8871051087 -20.9480966417 5245318.62867 
102.559299877 -23.443781118 -148.262157516 67.5970163689 -111.844672731 140.777740881 3232671.46953 
68.2806848887 180.419496483 -128.18980284 166.517211649 -184.724323097 3.31689079742 5527027.20582 
175.538987544 -85.0328652019 160.110888012 -13.5115318219 -57.8210054575 -42.1457375748 3190964.88741 
-161.06357797 145.517660855 1.42052164591 -197.073909215 -4.64141923008 -60.0552701123 7256892.76843 
-62.2858027014 186.887753083 117.160372807 92.1225096182 125.01030749 -169.571170061 4747038.93529 
-103.129070746 107.311232567 32.6781821386 -58.2328168937 -44.6470703584 14.9746558609 2854616.84884 
22.5730219552 -76.9855111796 -120.686159631 -11.8471274356 171.483075438 57.4498885128 2079422.77371 
-70.1845225968 -92.0142609901 36.9065512011 -116.285531999 100.203684233 70.6908549298 2948387.12697 
122.803774306 23.1270918807 67.3944143653 25.8778751135 -3.69208536352 -164.94516675 1415881.55929 
86.60535549 -125.227907085 53.0162444757 -164.640352373 -179.792899166 -162.442501893 4744220.71984 
147.017722976 -169.972339821 74.5870149299 74.0142998889 -151.720307358 167.041631358 7399406.4083 
-81.0403274623 -148.784769401 122.277608283 197.980580537 -189.45398117 -32.8403225031 5591392.55505 
192.125308405 -69.1440116047 199.989515732 -72.1419319051 44.3570847453 -96.1264517367 2742071.92772 
92.5279557498 30.6975360559 10.5989015599 51.8258610773 146.732258534 -178.426639533 2623253.1942 
132.486101423 138.830036694 -71.4335596266 -190.471746248 38.53623 -182.608396491 5557978.99915 
0.31149979692 193.272041598 175.003923708 -137.485767309 -100.330159624 44.2303362104 4098010.64521 
-199.034220058 -8.83742470507 66.6662779968 101.877524708 6.55186733027 -191.029947359 3044982.74925 
46.3425569027 -66.2662788028 -116.799300101 -56.743387515 -43.7640808794 -30.1085025377 3086996.71615 
14.3163404954 62.8714888 -62.0766311911 -106.670276879 -127.228318791 36.4310950762 1761308.60087 
164.184229951 -189.891544148 105.233916319 -67.2686063851 86.3474080006 -86.7557849782 3449708.93802 
-156.551006819 8.6819245106 -152.014870075 -106.344662587 -103.376632313 -120.881645207 8109621.36001 
-51.6718259247 -185.823285654 -11.6723823469 122.653460767 97.1212547658 187.488532738 2687731.22361 
-117.282044668 -48.7210802957 -130.503111121 -193.974855146 -37.4929617851 50.3653752517 5743648.56456 
-33.7213369711 102.186771549 21.1139873313 -153.634717865 21.0781847502 -92.3344728522 2814703.99653 
-36.8443301609 -165.451151245 -37.3090406112 -3.57215991031 -117.494566414 -77.7829556845 5867140.24986 
-15.2297515135 174.20685503 -115.174376325 -26.9983959185 -196.472251286 -132.744798988 5827952.85388 
-87.6959413222 114.301124247 26.822998331 27.6758377494 31.8554780814 8.18750484535 2671580.04466 
-126.94823674 -146.031339904 57.9161828538 174.654880803 12.689215168 -74.0962117361 3135609.68691 
158.061063823 171.387047772 -91.3031930061 143.667138846 -93.7520426461 -153.926148517 7681562.46704 
35.7850839467 197.724251115 141.928591244 192.431328432 196.855135464 -13.4346614511 6722363.32943 
6.83002301856 -101.502259787 150.923168775 45.0732308337 -26.5351942571 -25.7270704606 1916864.2522 
-101.02989465 16.0646003125 -14.5737374956 2.99235364351 177.597487195 83.1382990188 2248955.47064 
171.773976951 117.878030358 -29.4863322526 81.5750104164 -35.5286022979 -4.34464370353 4134876.5925 
57.3643924644 -177.248731323 154.420949444 -80.2426684651 -71.1841064374 100.829187048 4915092.61564 
-20.4277599417 2.96453772256 -104.021337885 -139.147551933 144.188551956 111.089102672 2262069.52609 
-136.673327482 -121.301420526 44.7531806784 112.650534682 -134.653922207 159.964716568 4866366.33417 
-175.624382063 59.218963453 113.609920715 41.0985324616 -111.097400334 143.490679395 3711456.63952 
-97.0902040433 81.617961546 -177.404818037 170.849764159 25.5532665594 -111.86771493 5758168.85893 
133.610917888 -135.847986191 -160.866461058 162.568958186 -164.495631973 86.8701711345 8176338.26317 
189.717191315 53.9894583218 -181.855782261 62.3648193433 -155.922774381 45.5816171672 5295801.51779 
101.265267995 -62.1664080466 -138.504392201 32.4372626034 15.6307233731 137.481689844 2350798.55316 
-10.4566999098 -151.159542903 -106.92672637 -100.882947081 189.2186603 76.7888649151 3599516.54981 
-147.025769788 166.647764326 57.0447304534 -90.1199341685 55.7341567876 -54.308364556 6123365.77178 
125.185843558 -160.409643128 -5.28058536026 -95.242325312 -80.7077460594 186.540394346 4039585.9504 
155.1113936 -74.2894844497 -196.370173816 108.005744782 -123.413177911 199.170560052 6531482.72497 
97.1207008468 -196.414233462 -65.0189696131 182.436229408 73.5498488626 -36.1700314649 6025684.33738 
-29.6033914627 -195.159799736 -143.073963995 125.030404056 -90.7282325551 -110.660306158 7958952.32061 
180.002158287 90.6919162831 170.697035689 151.671911109 -15.9912356373 -157.715271586 4695944.9009 
-1.94711996954 -96.8541992651 91.8214535921 85.9909911433 -86.1651659479 106.557479014 2883659.82966 
-40.7550667891 124.269843953 -166.783342473 106.504743673 -191.500458073 148.697004805 3075924.04719 
77.8520704326 -6.56772135107 -58.3297100579 -29.9622453357 -58.9184524592 -91.7556771185 2134932.63784 
-150.770741694 -60.6244274929 26.1639532347 31.7023353124 137.128080875 -179.458679325 2964723.83251 
143.634649063 -86.736578904 181.902263888 -64.9430434523 150.3147353 -32.2937919272 2216765.32364 
170.67191657 -187.8461584 41.5642948977 15.8964610091 165.261739526 -146.851083141 4649993.53211 
73.6585774428 -113.570259252 -51.7051712125 129.309099871 80.7796174168 183.443114055 2260829.05118 
-156.877667357 -140.076726228 -131.56552391 36.3888721353 29.8861342445 198.43155447 4444805.32993 
149.955007795 -64.9527244156 35.231695347 -103.118419281 105.98353052 120.92282017 1699727.73942 
157.278059369 36.2541167401 102.000845111 -47.1116520638 -70.1711094473 124.27286934 1946595.10952 
