# Component: secondary
# Region: (6330.0,6375.0)
# KOREL: False
# Parameters: {'rv': -49.9460982465, 'teff': 18000.0, 'vrot': 50.0, 'logg': 4.2, 'lr': 0.3, 'z': 1.0}
6.3300000000e+03 2.9980985623e-01
6.3300250000e+03 2.9980163540e-01
6.3300500000e+03 2.9979357757e-01
6.3300750000e+03 2.9978537724e-01
6.3301000000e+03 2.9977695002e-01
6.3301250000e+03 2.9976852914e-01
6.3301500000e+03 2.9976045914e-01
6.3301750000e+03 2.9975294490e-01
6.3302000000e+03 2.9974600842e-01
6.3302250000e+03 2.9973959220e-01
6.3302500000e+03 2.9973364022e-01
6.3302750000e+03 2.9972811675e-01
6.3303000000e+03 2.9972300008e-01
6.3303250000e+03 2.9971827489e-01
6.3303500000e+03 2.9971392990e-01
6.3303750000e+03 2.9970995186e-01
6.3304000000e+03 2.9970632221e-01
6.3304250000e+03 2.9970302293e-01
6.3304500000e+03 2.9970004504e-01
6.3304750000e+03 2.9969739075e-01
6.3305000000e+03 2.9969506679e-01
6.3305250000e+03 2.9969307928e-01
6.3305500000e+03 2.9969143260e-01
6.3305750000e+03 2.9969012930e-01
6.3306000000e+03 2.9968917332e-01
6.3306250000e+03 2.9968857085e-01
6.3306500000e+03 2.9968833015e-01
6.3306750000e+03 2.9968846433e-01
6.3307000000e+03 2.9968899253e-01
6.3307250000e+03 2.9968994718e-01
6.3307500000e+03 2.9969137282e-01
6.3307750000e+03 2.9969329830e-01
6.3308000000e+03 2.9969567375e-01
6.3308250000e+03 2.9969832371e-01
6.3308500000e+03 2.9970099005e-01
6.3308750000e+03 2.9970343781e-01
6.3309000000e+03 2.9970551209e-01
6.3309250000e+03 2.9970714307e-01
6.3309500000e+03 2.9970835330e-01
6.3309750000e+03 2.9970925635e-01
6.3310000000e+03 2.9971001373e-01
6.3310250000e+03 2.9971077294e-01
6.3310500000e+03 2.9971163104e-01
6.3310750000e+03 2.9971262934e-01
6.3311000000e+03 2.9971377416e-01
6.3311250000e+03 2.9971506780e-01
6.3311500000e+03 2.9971653371e-01
6.3311750000e+03 2.9971821279e-01
6.3312000000e+03 2.9972013870e-01
6.3312250000e+03 2.9972232479e-01
6.3312500000e+03 2.9972476992e-01
6.3312750000e+03 2.9972747053e-01
6.3313000000e+03 2.9973042487e-01
6.3313250000e+03 2.9973363249e-01
6.3313500000e+03 2.9973709411e-01
6.3313750000e+03 2.9974081093e-01
6.3314000000e+03 2.9974478524e-01
6.3314250000e+03 2.9974902108e-01
6.3314500000e+03 2.9975352204e-01
6.3314750000e+03 2.9975829222e-01
6.3315000000e+03 2.9976333656e-01
6.3315250000e+03 2.9976866091e-01
6.3315500000e+03 2.9977427274e-01
6.3315750000e+03 2.9978017967e-01
6.3316000000e+03 2.9978639119e-01
6.3316250000e+03 2.9979291895e-01
6.3316500000e+03 2.9979977725e-01
6.3316750000e+03 2.9980698234e-01
6.3317000000e+03 2.9981455246e-01
6.3317250000e+03 2.9982251074e-01
6.3317500000e+03 2.9983088768e-01
6.3317750000e+03 2.9983973004e-01
6.3318000000e+03 2.9984911481e-01
6.3318250000e+03 2.9985916677e-01
6.3318500000e+03 2.9987008879e-01
6.3318750000e+03 2.9988215104e-01
6.3319000000e+03 2.9989545072e-01
6.3319250000e+03 2.9990935683e-01
6.3319500000e+03 2.9992221839e-01
6.3319750000e+03 2.9993218131e-01
6.3320000000e+03 2.9993856488e-01
6.3320250000e+03 2.9994219740e-01
6.3320500000e+03 2.9994444821e-01
6.3320750000e+03 2.9994628905e-01
6.3321000000e+03 2.9994814041e-01
6.3321250000e+03 2.9995005812e-01
6.3321500000e+03 2.9995165967e-01
6.3321750000e+03 2.9995153396e-01
6.3322000000e+03 2.9994619326e-01
6.3322250000e+03 2.9992910508e-01
6.3322500000e+03 2.9989093799e-01
6.3322750000e+03 2.9982204900e-01
6.3323000000e+03 2.9971629355e-01
6.3323250000e+03 2.9957365541e-01
6.3323500000e+03 2.9940059213e-01
6.3323750000e+03 2.9920850054e-01
6.3324000000e+03 2.9901067232e-01
6.3324250000e+03 2.9881843809e-01
6.3324500000e+03 2.9863820270e-01
6.3324750000e+03 2.9847135103e-01
6.3325000000e+03 2.9831649866e-01
6.3325250000e+03 2.9817163849e-01
6.3325500000e+03 2.9803512784e-01
6.3325750000e+03 2.9790582023e-01
6.3326000000e+03 2.9778293351e-01
6.3326250000e+03 2.9766590993e-01
6.3326500000e+03 2.9755432916e-01
6.3326750000e+03 2.9744786127e-01
6.3327000000e+03 2.9734624473e-01
6.3327250000e+03 2.9724927319e-01
6.3327500000e+03 2.9715678269e-01
6.3327750000e+03 2.9706863647e-01
6.3328000000e+03 2.9698471367e-01
6.3328250000e+03 2.9690490470e-01
6.3328500000e+03 2.9682911446e-01
6.3328750000e+03 2.9675726040e-01
6.3329000000e+03 2.9668927036e-01
6.3329250000e+03 2.9662508115e-01
6.3329500000e+03 2.9656463756e-01
6.3329750000e+03 2.9650789078e-01
6.3330000000e+03 2.9645479819e-01
6.3330250000e+03 2.9640532222e-01
6.3330500000e+03 2.9635942934e-01
6.3330750000e+03 2.9631709034e-01
6.3331000000e+03 2.9627827816e-01
6.3331250000e+03 2.9624296633e-01
6.3331500000e+03 2.9621113090e-01
6.3331750000e+03 2.9618274779e-01
6.3332000000e+03 2.9615778445e-01
6.3332250000e+03 2.9613619647e-01
6.3332500000e+03 2.9611794005e-01
6.3332750000e+03 2.9610299555e-01
6.3333000000e+03 2.9609137358e-01
6.3333250000e+03 2.9608309632e-01
6.3333500000e+03 2.9607817951e-01
6.3333750000e+03 2.9607662894e-01
6.3334000000e+03 2.9607844518e-01
6.3334250000e+03 2.9608362609e-01
6.3334500000e+03 2.9609216709e-01
6.3334750000e+03 2.9610406052e-01
6.3335000000e+03 2.9611929796e-01
6.3335250000e+03 2.9613787943e-01
6.3335500000e+03 2.9615982534e-01
6.3335750000e+03 2.9618517228e-01
6.3336000000e+03 2.9621395046e-01
6.3336250000e+03 2.9624616487e-01
6.3336500000e+03 2.9628180919e-01
6.3336750000e+03 2.9632089617e-01
6.3337000000e+03 2.9636346512e-01
6.3337250000e+03 2.9640956893e-01
6.3337500000e+03 2.9645925747e-01
6.3337750000e+03 2.9651257323e-01
6.3338000000e+03 2.9656955606e-01
6.3338250000e+03 2.9663024771e-01
6.3338500000e+03 2.9669469235e-01
6.3338750000e+03 2.9676293827e-01
6.3339000000e+03 2.9683504100e-01
6.3339250000e+03 2.9691107022e-01
6.3339500000e+03 2.9699111146e-01
6.3339750000e+03 2.9707526418e-01
6.3340000000e+03 2.9716364078e-01
6.3340250000e+03 2.9725636998e-01
6.3340500000e+03 2.9735360207e-01
6.3340750000e+03 2.9745551497e-01
6.3341000000e+03 2.9756232298e-01
6.3341250000e+03 2.9767428864e-01
6.3341500000e+03 2.9779174061e-01
6.3341750000e+03 2.9791510033e-01
6.3342000000e+03 2.9804492882e-01
6.3342250000e+03 2.9818201651e-01
6.3342500000e+03 2.9832752970e-01
6.3342750000e+03 2.9848315617e-01
6.3343000000e+03 2.9865092174e-01
6.3343250000e+03 2.9883207456e-01
6.3343500000e+03 2.9902484138e-01
6.3343750000e+03 2.9922234221e-01
6.3344000000e+03 2.9941292941e-01
6.3344250000e+03 2.9958333729e-01
6.3344500000e+03 2.9972254315e-01
6.3344750000e+03 2.9982468834e-01
6.3345000000e+03 2.9989054106e-01
6.3345250000e+03 2.9992692707e-01
6.3345500000e+03 2.9994382295e-01
6.3345750000e+03 2.9995035999e-01
6.3346000000e+03 2.9995245625e-01
6.3346250000e+03 2.9995300304e-01
6.3346500000e+03 2.9995310339e-01
6.3346750000e+03 2.9995310116e-01
6.3347000000e+03 2.9995308506e-01
6.3347250000e+03 2.9995307720e-01
6.3347500000e+03 2.9995308187e-01
6.3347750000e+03 2.9995309286e-01
6.3348000000e+03 2.9995309571e-01
6.3348250000e+03 2.9995307412e-01
6.3348500000e+03 2.9995302152e-01
6.3348750000e+03 2.9995294338e-01
6.3349000000e+03 2.9995283372e-01
6.3349250000e+03 2.9995261617e-01
6.3349500000e+03 2.9995205561e-01
6.3349750000e+03 2.9995074071e-01
6.3350000000e+03 2.9994830791e-01
6.3350250000e+03 2.9994480282e-01
6.3350500000e+03 2.9994073668e-01
6.3350750000e+03 2.9993670186e-01
6.3351000000e+03 2.9993300368e-01
6.3351250000e+03 2.9992966412e-01
6.3351500000e+03 2.9992660869e-01
6.3351750000e+03 2.9992377336e-01
6.3352000000e+03 2.9992112033e-01
6.3352250000e+03 2.9991862728e-01
6.3352500000e+03 2.9991627880e-01
6.3352750000e+03 2.9991406260e-01
6.3353000000e+03 2.9991197012e-01
