# Component: primary
# Region: (6330.0,6375.0)
# KOREL: False
# Parameters: {'rv': 100.009478284, 'teff': 25000.0, 'vrot': 150.0, 'logg': 4.2, 'lr': 0.7, 'z': 1.0}
6.3300000000e+03 6.9997942913e-01
6.3300250000e+03 6.9997885086e-01
6.3300500000e+03 6.9997827260e-01
6.3300750000e+03 6.9997769434e-01
6.3301000000e+03 6.9997711608e-01
6.3301250000e+03 6.9997653781e-01
6.3301500000e+03 6.9997595955e-01
6.3301750000e+03 6.9997538129e-01
6.3302000000e+03 6.9997480303e-01
6.3302250000e+03 6.9997422476e-01
6.3302500000e+03 6.9997364650e-01
6.3302750000e+03 6.9997306824e-01
6.3303000000e+03 6.9997248998e-01
6.3303250000e+03 6.9997191171e-01
6.3303500000e+03 6.9997133345e-01
6.3303750000e+03 6.9997075519e-01
6.3304000000e+03 6.9997017693e-01
6.3304250000e+03 6.9996959866e-01
6.3304500000e+03 6.9996902040e-01
6.3304750000e+03 6.9996844214e-01
6.3305000000e+03 6.9996786388e-01
6.3305250000e+03 6.9996728561e-01
6.3305500000e+03 6.9996670735e-01
6.3305750000e+03 6.9996612909e-01
6.3306000000e+03 6.9996555083e-01
6.3306250000e+03 6.9996497256e-01
6.3306500000e+03 6.9996439430e-01
6.3306750000e+03 6.9996381604e-01
6.3307000000e+03 6.9996323778e-01
6.3307250000e+03 6.9996265952e-01
6.3307500000e+03 6.9996208125e-01
6.3307750000e+03 6.9996150299e-01
6.3308000000e+03 6.9996092473e-01
6.3308250000e+03 6.9996034647e-01
6.3308500000e+03 6.9995976820e-01
6.3308750000e+03 6.9995918994e-01
6.3309000000e+03 6.9995861168e-01
6.3309250000e+03 6.9995803342e-01
6.3309500000e+03 6.9995745515e-01
6.3309750000e+03 6.9995687689e-01
6.3310000000e+03 6.9995629863e-01
6.3310250000e+03 6.9995572037e-01
6.3310500000e+03 6.9995514210e-01
6.3310750000e+03 6.9995456384e-01
6.3311000000e+03 6.9995398558e-01
6.3311250000e+03 6.9995340732e-01
6.3311500000e+03 6.9995282905e-01
6.3311750000e+03 6.9995225079e-01
6.3312000000e+03 6.9995167253e-01
6.3312250000e+03 6.9995109427e-01
6.3312500000e+03 6.9995051600e-01
6.3312750000e+03 6.9994993774e-01
6.3313000000e+03 6.9994935948e-01
6.3313250000e+03 6.9994878122e-01
6.3313500000e+03 6.9994820295e-01
6.3313750000e+03 6.9994762469e-01
6.3314000000e+03 6.9994704643e-01
6.3314250000e+03 6.9994646817e-01
6.3314500000e+03 6.9994588991e-01
6.3314750000e+03 6.9994531164e-01
6.3315000000e+03 6.9994473338e-01
6.3315250000e+03 6.9994415512e-01
6.3315500000e+03 6.9994357686e-01
6.3315750000e+03 6.9994299859e-01
6.3316000000e+03 6.9994242033e-01
6.3316250000e+03 6.9994184207e-01
6.3316500000e+03 6.9994126381e-01
6.3316750000e+03 6.9994068554e-01
6.3317000000e+03 6.9994010728e-01
6.3317250000e+03 6.9993952902e-01
6.3317500000e+03 6.9993895076e-01
6.3317750000e+03 6.9993837249e-01
6.3318000000e+03 6.9993779423e-01
6.3318250000e+03 6.9993721597e-01
6.3318500000e+03 6.9993663771e-01
6.3318750000e+03 6.9993605944e-01
6.3319000000e+03 6.9993548118e-01
6.3319250000e+03 6.9993490293e-01
6.3319500000e+03 6.9993432462e-01
6.3319750000e+03 6.9993374652e-01
6.3320000000e+03 6.9993316765e-01
6.3320250000e+03 6.9993259166e-01
6.3320500000e+03 6.9993200494e-01
6.3320750000e+03 6.9993145822e-01
6.3321000000e+03 6.9993076226e-01
