# Component: secondary
# Region: (6330.0,6375.0)
# KOREL: False
# Parameters: {'rv': -19.9589330606, 'teff': 18000.0, 'vrot': 50.0, 'logg': 4.2, 'lr': 0.3, 'z': 1.0}
6.3300000000e+03 2.9991037444e-01
6.3300250000e+03 2.9990874574e-01
6.3300500000e+03 2.9990719803e-01
6.3300750000e+03 2.9990573071e-01
6.3301000000e+03 2.9990434324e-01
6.3301250000e+03 2.9990303554e-01
6.3301500000e+03 2.9990180763e-01
6.3301750000e+03 2.9990065944e-01
6.3302000000e+03 2.9989959044e-01
6.3302250000e+03 2.9989860074e-01
6.3302500000e+03 2.9989769045e-01
6.3302750000e+03 2.9989685925e-01
6.3303000000e+03 2.9989610692e-01
6.3303250000e+03 2.9989543103e-01
6.3303500000e+03 2.9989481771e-01
6.3303750000e+03 2.9989419515e-01
6.3304000000e+03 2.9989327431e-01
6.3304250000e+03 2.9989127304e-01
6.3304500000e+03 2.9988687923e-01
6.3304750000e+03 2.9987900621e-01
6.3305000000e+03 2.9986790739e-01
6.3305250000e+03 2.9985524418e-01
6.3305500000e+03 2.9984284710e-01
6.3305750000e+03 2.9983164142e-01
6.3306000000e+03 2.9982166810e-01
6.3306250000e+03 2.9981267360e-01
6.3306500000e+03 2.9980432074e-01
6.3306750000e+03 2.9979624902e-01
6.3307000000e+03 2.9978812127e-01
6.3307250000e+03 2.9977975728e-01
6.3307500000e+03 2.9977129604e-01
6.3307750000e+03 2.9976307827e-01
6.3308000000e+03 2.9975537093e-01
6.3308250000e+03 2.9974824826e-01
6.3308500000e+03 2.9974166715e-01
6.3308750000e+03 2.9973556665e-01
6.3309000000e+03 2.9972990439e-01
6.3309250000e+03 2.9972465515e-01
6.3309500000e+03 2.9971980177e-01
6.3309750000e+03 2.9971533215e-01
6.3310000000e+03 2.9971123443e-01
6.3310250000e+03 2.9970749156e-01
6.3310500000e+03 2.9970408435e-01
6.3310750000e+03 2.9970100006e-01
6.3311000000e+03 2.9969823770e-01
6.3311250000e+03 2.9969580330e-01
6.3311500000e+03 2.9969370338e-01
6.3311750000e+03 2.9969194306e-01
6.3312000000e+03 2.9969052520e-01
6.3312250000e+03 2.9968945297e-01
6.3312500000e+03 2.9968873201e-01
6.3312750000e+03 2.9968836947e-01
6.3313000000e+03 2.9968837695e-01
6.3313250000e+03 2.9968877082e-01
6.3313500000e+03 2.9968957846e-01
6.3313750000e+03 2.9969084161e-01
6.3314000000e+03 2.9969260014e-01
6.3314250000e+03 2.9969483839e-01
6.3314500000e+03 2.9969742329e-01
6.3314750000e+03 2.9970011298e-01
6.3315000000e+03 2.9970265499e-01
6.3315250000e+03 2.9970486603e-01
6.3315500000e+03 2.9970664744e-01
6.3315750000e+03 2.9970798963e-01
6.3316000000e+03 2.9970897839e-01
6.3316250000e+03 2.9970976631e-01
6.3316500000e+03 2.9971051115e-01
6.3316750000e+03 2.9971132897e-01
6.3317000000e+03 2.9971227836e-01
6.3317250000e+03 2.9971337420e-01
6.3317500000e+03 2.9971461645e-01
6.3317750000e+03 2.9971602023e-01
6.3318000000e+03 2.9971762307e-01
6.3318250000e+03 2.9971946346e-01
6.3318500000e+03 2.9972156168e-01
6.3318750000e+03 2.9972392002e-01
6.3319000000e+03 2.9972653483e-01
6.3319250000e+03 2.9972940374e-01
6.3319500000e+03 2.9973252587e-01
6.3319750000e+03 2.9973590163e-01
6.3320000000e+03 2.9973953211e-01
6.3320250000e+03 2.9974341897e-01
6.3320500000e+03 2.9974756597e-01
6.3320750000e+03 2.9975197683e-01
6.3321000000e+03 2.9975665536e-01
6.3321250000e+03 2.9976160630e-01
6.3321500000e+03 2.9976683498e-01
6.3321750000e+03 2.9977234856e-01
6.3322000000e+03 2.9977815447e-01
6.3322250000e+03 2.9978426147e-01
6.3322500000e+03 2.9979068045e-01
6.3322750000e+03 2.9979742478e-01
6.3323000000e+03 2.9980451025e-01
6.3323250000e+03 2.9981195406e-01
6.3323500000e+03 2.9981977754e-01
6.3323750000e+03 2.9982800810e-01
6.3324000000e+03 2.9983668548e-01
6.3324250000e+03 2.9984587496e-01
6.3324500000e+03 2.9985568231e-01
6.3324750000e+03 2.9986628004e-01
6.3325000000e+03 2.9987792560e-01
6.3325250000e+03 2.9989082596e-01
6.3325500000e+03 2.9990466669e-01
6.3325750000e+03 2.9991811045e-01
6.3326000000e+03 2.9992920969e-01
6.3326250000e+03 2.9993677287e-01
6.3326500000e+03 2.9994118515e-01
6.3326750000e+03 2.9994376652e-01
6.3327000000e+03 2.9994567571e-01
6.3327250000e+03 2.9994750101e-01
6.3327500000e+03 2.9994940913e-01
6.3327750000e+03 2.9995120465e-01
6.3328000000e+03 2.9995192709e-01
6.3328250000e+03 2.9994892638e-01
6.3328500000e+03 2.9993677059e-01
6.3328750000e+03 2.9990691776e-01
6.3329000000e+03 2.9984941698e-01
6.3329250000e+03 2.9975654075e-01
6.3329500000e+03 2.9962604199e-01
6.3329750000e+03 2.9946226098e-01
6.3330000000e+03 2.9927518608e-01
6.3330250000e+03 2.9907787769e-01
6.3330500000e+03 2.9888276221e-01
6.3330750000e+03 2.9869809074e-01
6.3331000000e+03 2.9852676667e-01
6.3331250000e+03 2.9836806550e-01
6.3331500000e+03 2.9822002340e-01
6.3331750000e+03 2.9808083089e-01
6.3332000000e+03 2.9794918211e-01
6.3332250000e+03 2.9782418860e-01
6.3332500000e+03 2.9770522852e-01
6.3332750000e+03 2.9759184181e-01
6.3333000000e+03 2.9748367107e-01
6.3333250000e+03 2.9738043324e-01
6.3333500000e+03 2.9728190446e-01
6.3333750000e+03 2.9718790810e-01
6.3334000000e+03 2.9709829959e-01
6.3334250000e+03 2.9701295379e-01
6.3334500000e+03 2.9693175690e-01
6.3334750000e+03 2.9685460892e-01
6.3335000000e+03 2.9678142332e-01
6.3335250000e+03 2.9671212461e-01
6.3335500000e+03 2.9664664662e-01
6.3335750000e+03 2.9658493167e-01
6.3336000000e+03 2.9652692879e-01
6.3336250000e+03 2.9647259331e-01
6.3336500000e+03 2.9642188616e-01
6.3336750000e+03 2.9637477238e-01
6.3337000000e+03 2.9633122138e-01
6.3337250000e+03 2.9629120575e-01
6.3337500000e+03 2.9625469864e-01
6.3337750000e+03 2.9622167515e-01
6.3338000000e+03 2.9619211209e-01
6.3338250000e+03 2.9616598074e-01
6.3338500000e+03 2.9614324033e-01
6.3338750000e+03 2.9612384419e-01
6.3339000000e+03 2.9610776226e-01
6.3339250000e+03 2.9609499611e-01
6.3339500000e+03 2.9608556648e-01
6.3339750000e+03 2.9607949245e-01
6.3340000000e+03 2.9607678279e-01
6.3340250000e+03 2.9607743948e-01
6.3340500000e+03 2.9608146112e-01
6.3340750000e+03 2.9608884412e-01
6.3341000000e+03 2.9609958182e-01
6.3341250000e+03 2.9611366549e-01
6.3341500000e+03 2.9613109058e-01
6.3341750000e+03 2.9615186987e-01
6.3342000000e+03 2.9617603625e-01
6.3342250000e+03 2.9620362525e-01
6.3342500000e+03 2.9623465081e-01
6.3342750000e+03 2.9626910680e-01
6.3343000000e+03 2.9630699720e-01
6.3343250000e+03 2.9634835280e-01
6.3343500000e+03 2.9639322402e-01
6.3343750000e+03 2.9644166289e-01
6.3344000000e+03 2.9649371418e-01
6.3344250000e+03 2.9654941789e-01
6.3344500000e+03 2.9660881503e-01
6.3344750000e+03 2.9667194871e-01
6.3345000000e+03 2.9673886569e-01
6.3345250000e+03 2.9680961814e-01
6.3345500000e+03 2.9688427033e-01
6.3345750000e+03 2.9696290241e-01
6.3346000000e+03 2.9704560925e-01
6.3346250000e+03 2.9713249854e-01
6.3346500000e+03 2.9722369275e-01
6.3346750000e+03 2.9731933404e-01
6.3347000000e+03 2.9741958984e-01
6.3347250000e+03 2.9752466062e-01
6.3347500000e+03 2.9763479045e-01
6.3347750000e+03 2.9775028243e-01
6.3348000000e+03 2.9787152189e-01
6.3348250000e+03 2.9799901358e-01
6.3348500000e+03 2.9813345445e-01
6.3348750000e+03 2.9827585939e-01
6.3349000000e+03 2.9842772595e-01
6.3349250000e+03 2.9859102751e-01
6.3349500000e+03 2.9876749112e-01
6.3349750000e+03 2.9895669384e-01
6.3350000000e+03 2.9915365748e-01
6.3350250000e+03 2.9934814550e-01
6.3350500000e+03 2.9952700896e-01
6.3350750000e+03 2.9967805358e-01
6.3351000000e+03 2.9979337078e-01
6.3351250000e+03 2.9987136532e-01
6.3351500000e+03 2.9991696544e-01
6.3351750000e+03 2.9993950546e-01
6.3352000000e+03 2.9994880927e-01
6.3352250000e+03 2.9995199794e-01
6.3352500000e+03 2.9995289622e-01
6.3352750000e+03 2.9995308937e-01
6.3353000000e+03 2.9995310580e-01
6.3353250000e+03 2.9995309034e-01
6.3353500000e+03 2.9995307850e-01
6.3353750000e+03 2.9995307899e-01
6.3354000000e+03 2.9995308906e-01
6.3354250000e+03 2.9995309678e-01
6.3354500000e+03 2.9995308521e-01
6.3354750000e+03 2.9995304323e-01
6.3355000000e+03 2.9995297322e-01
6.3355250000e+03 2.9995287785e-01
6.3355500000e+03 2.9995271479e-01
6.3355750000e+03 2.9995231474e-01
6.3356000000e+03 2.9995131708e-01
6.3356250000e+03 2.9994929824e-01
6.3356500000e+03 2.9994612922e-01
6.3356750000e+03 2.9994218624e-01
6.3357000000e+03 2.9993808847e-01
6.3357250000e+03 2.9993425952e-01
6.3357500000e+03 2.9993080120e-01
6.3357750000e+03 2.9992765489e-01
6.3358000000e+03 2.9992474792e-01
6.3358250000e+03 2.9992203418e-01
6.3358500000e+03 2.9991948708e-01
6.3358750000e+03 2.9991708957e-01
6.3359000000e+03 2.9991482816e-01
6.3359250000e+03 2.9991269318e-01
6.3359500000e+03 2.9991067721e-01
6.3359750000e+03 2.9990877314e-01
6.3360000000e+03 2.9990697574e-01
6.3360250000e+03 2.9990528143e-01
6.3360500000e+03 2.9990368744e-01
6.3360750000e+03 2.9990219142e-01
6.3361000000e+03 2.9990079184e-01
6.3361250000e+03 2.9989948792e-01
6.3361500000e+03 2.9989827987e-01
6.3361750000e+03 2.9989716770e-01
6.3362000000e+03 2.9989615035e-01
6.3362250000e+03 2.9989522055e-01
6.3362500000e+03 2.9989436166e-01
6.3362750000e+03 2.9989354913e-01
6.3363000000e+03 2.9989276268e-01
6.3363250000e+03 2.9989199979e-01
6.3363500000e+03 2.9989127206e-01
6.3363750000e+03 2.9989058511e-01
6.3364000000e+03 2.9988993062e-01
6.3364250000e+03 2.9988929930e-01
6.3364500000e+03 2.9988869035e-01
6.3364750000e+03 2.9988811405e-01
6.3365000000e+03 2.9988758525e-01
6.3365250000e+03 2.9988711580e-01
6.3365500000e+03 2.9988671346e-01
6.3365750000e+03 2.9988638532e-01
6.3366000000e+03 2.9988614076e-01
6.3366250000e+03 2.9988598840e-01
6.3366500000e+03 2.9988592901e-01
6.3366750000e+03 2.9988595278e-01
6.3367000000e+03 2.9988604608e-01
6.3367250000e+03 2.9988620269e-01
6.3367500000e+03 2.9988642238e-01
6.3367750000e+03 2.9988670669e-01
6.3368000000e+03 2.9988705811e-01
6.3368250000e+03 2.9988747887e-01
6.3368500000e+03 2.9988797092e-01
6.3368750000e+03 2.9988853652e-01
6.3369000000e+03 2.9988917990e-01
6.3369250000e+03 2.9988990708e-01
6.3369500000e+03 2.9989072060e-01
6.3369750000e+03 2.9989161210e-01
6.3370000000e+03 2.9989255751e-01
6.3370250000e+03 2.9989352804e-01
6.3370500000e+03 2.9989451131e-01
6.3370750000e+03 2.9989551657e-01
6.3371000000e+03 2.9989656053e-01
6.3371250000e+03 2.9989765573e-01
6.3371500000e+03 2.9989880875e-01
6.3371750000e+03 2.9990002354e-01
6.3372000000e+03 2.9990130354e-01
6.3372250000e+03 2.9990265204e-01
6.3372500000e+03 2.9990407206e-01
6.3372750000e+03 2.9990556669e-01
6.3373000000e+03 2.9990713817e-01
6.3373250000e+03 2.9990878800e-01
6.3373500000e+03 2.9991051936e-01
6.3373750000e+03 2.9991233523e-01
6.3374000000e+03 2.9991423931e-01
6.3374250000e+03 2.9991623567e-01
6.3374500000e+03 2.9991832895e-01
6.3374750000e+03 2.9992052561e-01
6.3375000000e+03 2.9992283404e-01
6.3375250000e+03 2.9992526298e-01
6.3375500000e+03 2.9992782168e-01
6.3375750000e+03 2.9993052000e-01
6.3376000000e+03 2.9993337493e-01
6.3376250000e+03 2.9993642434e-01
6.3376500000e+03 2.9993973957e-01
6.3376750000e+03 2.9994341023e-01
6.3377000000e+03 2.9994744286e-01
6.3377250000e+03 2.9995157468e-01
6.3377500000e+03 2.9995523436e-01
6.3377750000e+03 2.9995786849e-01
6.3378000000e+03 2.9995935602e-01
6.3378250000e+03 2.9996001868e-01
6.3378500000e+03 2.9996027099e-01
6.3378750000e+03 2.9996036848e-01
6.3379000000e+03 2.9996040928e-01
6.3379250000e+03 2.9996042042e-01
6.3379500000e+03 2.9996041007e-01
6.3379750000e+03 2.9996038496e-01
6.3380000000e+03 2.9996035246e-01
6.3380250000e+03 2.9996031724e-01
6.3380500000e+03 2.9996028215e-01
6.3380750000e+03 2.9996024800e-01
6.3381000000e+03 2.9996021480e-01
6.3381250000e+03 2.9996018270e-01
6.3381500000e+03 2.9996015171e-01
6.3381750000e+03 2.9996012161e-01
6.3382000000e+03 2.9996009249e-01
6.3382250000e+03 2.9996006463e-01
6.3382500000e+03 2.9996003847e-01
6.3382750000e+03 2.9996001371e-01
6.3383000000e+03 2.9995998972e-01
6.3383250000e+03 2.9995996667e-01
6.3383500000e+03 2.9995994429e-01
6.3383750000e+03 2.9995992300e-01
6.3384000000e+03 2.9995990528e-01
6.3384250000e+03 2.9995989379e-01
6.3384500000e+03 2.9995988950e-01
6.3384750000e+03 2.9995989634e-01
6.3385000000e+03 2.9995993073e-01
6.3385250000e+03 2.9996001911e-01
6.3385500000e+03 2.9996017176e-01
6.3385750000e+03 2.9996036353e-01
6.3386000000e+03 2.9996055305e-01
6.3386250000e+03 2.9996071261e-01
6.3386500000e+03 2.9996083569e-01
6.3386750000e+03 2.9996092586e-01
6.3387000000e+03 2.9996098940e-01
6.3387250000e+03 2.9996103781e-01
6.3387500000e+03 2.9996108538e-01
6.3387750000e+03 2.9996114348e-01
6.3388000000e+03 2.9996121237e-01
6.3388250000e+03 2.9996128260e-01
6.3388500000e+03 2.9996134493e-01
6.3388750000e+03 2.9996139099e-01
6.3389000000e+03 2.9996141111e-01
6.3389250000e+03 2.9996138982e-01
6.3389500000e+03 2.9996129980e-01
6.3389750000e+03 2.9996109539e-01
6.3390000000e+03 2.9996070785e-01
6.3390250000e+03 2.9996005065e-01
6.3390500000e+03 2.9995903603e-01
6.3390750000e+03 2.9995760033e-01
6.3391000000e+03 2.9995572881e-01
6.3391250000e+03 2.9995346847e-01
6.3391500000e+03 2.9995091949e-01
6.3391750000e+03 2.9994820917e-01
6.3392000000e+03 2.9994546117e-01
6.3392250000e+03 2.9994276783e-01
6.3392500000e+03 2.9994017227e-01
6.3392750000e+03 2.9993763808e-01
6.3393000000e+03 2.9993497798e-01
6.3393250000e+03 2.9993179638e-01
6.3393500000e+03 2.9992763758e-01
6.3393750000e+03 2.9992236027e-01
6.3394000000e+03 2.9991635269e-01
6.3394250000e+03 2.9991024071e-01
6.3394500000e+03 2.9990439671e-01
6.3394750000e+03 2.9989876794e-01
6.3395000000e+03 2.9989308014e-01
6.3395250000e+03 2.9988715919e-01
6.3395500000e+03 2.9988110089e-01
6.3395750000e+03 2.9987516228e-01
6.3396000000e+03 2.9986953738e-01
6.3396250000e+03 2.9986427092e-01
6.3396500000e+03 2.9985932148e-01
6.3396750000e+03 2.9985463449e-01
6.3397000000e+03 2.9985015978e-01
6.3397250000e+03 2.9984583451e-01
6.3397500000e+03 2.9984157462e-01
6.3397750000e+03 2.9983731326e-01
6.3398000000e+03 2.9983306072e-01
6.3398250000e+03 2.9982890379e-01
6.3398500000e+03 2.9982493421e-01
6.3398750000e+03 2.9982119310e-01
6.3399000000e+03 2.9981767733e-01
6.3399250000e+03 2.9981436909e-01
6.3399500000e+03 2.9981125228e-01
6.3399750000e+03 2.9980831365e-01
6.3400000000e+03 2.9980554148e-01
6.3400250000e+03 2.9980292586e-01
6.3400500000e+03 2.9980046252e-01
6.3400750000e+03 2.9979815184e-01
6.3401000000e+03 2.9979599704e-01
6.3401250000e+03 2.9979399897e-01
6.3401500000e+03 2.9979215022e-01
6.3401750000e+03 2.9979040578e-01
6.3402000000e+03 2.9978856722e-01
6.3402250000e+03 2.9978603251e-01
6.3402500000e+03 2.9978166275e-01
6.3402750000e+03 2.9977430833e-01
6.3403000000e+03 2.9976386006e-01
6.3403250000e+03 2.9975162185e-01
6.3403500000e+03 2.9973936971e-01
6.3403750000e+03 2.9972818164e-01
6.3404000000e+03 2.9971823610e-01
6.3404250000e+03 2.9970931113e-01
6.3404500000e+03 2.9970117960e-01
6.3404750000e+03 2.9969369939e-01
6.3405000000e+03 2.9968678342e-01
6.3405250000e+03 2.9968037232e-01
6.3405500000e+03 2.9967442197e-01
6.3405750000e+03 2.9966889795e-01
6.3406000000e+03 2.9966378285e-01
6.3406250000e+03 2.9965908768e-01
6.3406500000e+03 2.9965484717e-01
6.3406750000e+03 2.9965108830e-01
6.3407000000e+03 2.9964779891e-01
6.3407250000e+03 2.9964493152e-01
6.3407500000e+03 2.9964243251e-01
6.3407750000e+03 2.9964026003e-01
6.3408000000e+03 2.9963838846e-01
6.3408250000e+03 2.9963680525e-01
6.3408500000e+03 2.9963551217e-01
6.3408750000e+03 2.9963452188e-01
6.3409000000e+03 2.9963385612e-01
6.3409250000e+03 2.9963354259e-01
6.3409500000e+03 2.9963361156e-01
6.3409750000e+03 2.9963409303e-01
6.3410000000e+03 2.9963501163e-01
6.3410250000e+03 2.9963638521e-01
6.3410500000e+03 2.9963822614e-01
6.3410750000e+03 2.9964054071e-01
6.3411000000e+03 2.9964332195e-01
6.3411250000e+03 2.9964653793e-01
6.3411500000e+03 2.9965012107e-01
6.3411750000e+03 2.9965396716e-01
6.3412000000e+03 2.9965795200e-01
6.3412250000e+03 2.9966196019e-01
6.3412500000e+03 2.9966591810e-01
6.3412750000e+03 2.9966981401e-01
6.3413000000e+03 2.9967369871e-01
6.3413250000e+03 2.9967767390e-01
6.3413500000e+03 2.9968187046e-01
6.3413750000e+03 2.9968643704e-01
6.3414000000e+03 2.9969152254e-01
6.3414250000e+03 2.9969718177e-01
6.3414500000e+03 2.9970318672e-01
6.3414750000e+03 2.9970897843e-01
6.3415000000e+03 2.9971399199e-01
6.3415250000e+03 2.9971811137e-01
6.3415500000e+03 2.9972170638e-01
6.3415750000e+03 2.9972524124e-01
6.3416000000e+03 2.9972891125e-01
6.3416250000e+03 2.9973258166e-01
6.3416500000e+03 2.9973600498e-01
6.3416750000e+03 2.9973909329e-01
6.3417000000e+03 2.9974198224e-01
6.3417250000e+03 2.9974488008e-01
6.3417500000e+03 2.9974793112e-01
6.3417750000e+03 2.9975120146e-01
6.3418000000e+03 2.9975471892e-01
6.3418250000e+03 2.9975849804e-01
6.3418500000e+03 2.9976252887e-01
6.3418750000e+03 2.9976674802e-01
6.3419000000e+03 2.9977105466e-01
6.3419250000e+03 2.9977538364e-01
6.3419500000e+03 2.9977975584e-01
6.3419750000e+03 2.9978424656e-01
6.3420000000e+03 2.9978892548e-01
6.3420250000e+03 2.9979383170e-01
6.3420500000e+03 2.9979898312e-01
6.3420750000e+03 2.9980439200e-01
6.3421000000e+03 2.9981007082e-01
6.3421250000e+03 2.9981603402e-01
6.3421500000e+03 2.9982229600e-01
6.3421750000e+03 2.9982887827e-01
6.3422000000e+03 2.9983581548e-01
6.3422250000e+03 2.9984316042e-01
6.3422500000e+03 2.9985099333e-01
6.3422750000e+03 2.9985944356e-01
6.3423000000e+03 2.9986871870e-01
6.3423250000e+03 2.9987905680e-01
6.3423500000e+03 2.9989039541e-01
6.3423750000e+03 2.9990183772e-01
6.3424000000e+03 2.9991167009e-01
6.3424250000e+03 2.9991840692e-01
6.3424500000e+03 2.9992188749e-01
6.3424750000e+03 2.9992314700e-01
6.3425000000e+03 2.9992338622e-01
6.3425250000e+03 2.9992330961e-01
6.3425500000e+03 2.9992317215e-01
6.3425750000e+03 2.9992303437e-01
6.3426000000e+03 2.9992290730e-01
6.3426250000e+03 2.9992279381e-01
6.3426500000e+03 2.9992269482e-01
6.3426750000e+03 2.9992261100e-01
6.3427000000e+03 2.9992254139e-01
6.3427250000e+03 2.9992248595e-01
6.3427500000e+03 2.9992244581e-01
6.3427750000e+03 2.9992242381e-01
6.3428000000e+03 2.9992242340e-01
6.3428250000e+03 2.9992244600e-01
6.3428500000e+03 2.9992248700e-01
6.3428750000e+03 2.9992253584e-01
6.3429000000e+03 2.9992257321e-01
6.3429250000e+03 2.9992257503e-01
6.3429500000e+03 2.9992251489e-01
6.3429750000e+03 2.9992237127e-01
6.3430000000e+03 2.9992212991e-01
6.3430250000e+03 2.9992178570e-01
6.3430500000e+03 2.9992134241e-01
6.3430750000e+03 2.9992081000e-01
6.3431000000e+03 2.9992020193e-01
6.3431250000e+03 2.9991953346e-01
6.3431500000e+03 2.9991882018e-01
6.3431750000e+03 2.9991807751e-01
6.3432000000e+03 2.9991731707e-01
6.3432250000e+03 2.9991654306e-01
6.3432500000e+03 2.9991575624e-01
6.3432750000e+03 2.9991495630e-01
6.3433000000e+03 2.9991414196e-01
6.3433250000e+03 2.9991331265e-01
6.3433500000e+03 2.9991246726e-01
6.3433750000e+03 2.9991160405e-01
6.3434000000e+03 2.9991072185e-01
6.3434250000e+03 2.9990981959e-01
6.3434500000e+03 2.9990889701e-01
6.3434750000e+03 2.9990795351e-01
6.3435000000e+03 2.9990698560e-01
6.3435250000e+03 2.9990598416e-01
6.3435500000e+03 2.9990494020e-01
6.3435750000e+03 2.9990385077e-01
6.3436000000e+03 2.9990271989e-01
6.3436250000e+03 2.9990155212e-01
6.3436500000e+03 2.9990034644e-01
6.3436750000e+03 2.9989909573e-01
6.3437000000e+03 2.9989779114e-01
6.3437250000e+03 2.9989642909e-01
6.3437500000e+03 2.9989501411e-01
6.3437750000e+03 2.9989355578e-01
6.3438000000e+03 2.9989205968e-01
6.3438250000e+03 2.9989052483e-01
6.3438500000e+03 2.9988894170e-01
6.3438750000e+03 2.9988727759e-01
6.3439000000e+03 2.9988544751e-01
6.3439250000e+03 2.9988330214e-01
6.3439500000e+03 2.9988070261e-01
6.3439750000e+03 2.9987765311e-01
6.3440000000e+03 2.9987432869e-01
6.3440250000e+03 2.9987094237e-01
6.3440500000e+03 2.9986760924e-01
6.3440750000e+03 2.9986433834e-01
6.3441000000e+03 2.9986109519e-01
6.3441250000e+03 2.9985784714e-01
6.3441500000e+03 2.9985457246e-01
6.3441750000e+03 2.9985125657e-01
6.3442000000e+03 2.9984788750e-01
6.3442250000e+03 2.9984445423e-01
6.3442500000e+03 2.9984094863e-01
6.3442750000e+03 2.9983736301e-01
6.3443000000e+03 2.9983368917e-01
6.3443250000e+03 2.9982991649e-01
6.3443500000e+03 2.9982603120e-01
6.3443750000e+03 2.9982201379e-01
6.3444000000e+03 2.9981783318e-01
6.3444250000e+03 2.9981344374e-01
6.3444500000e+03 2.9980880172e-01
6.3444750000e+03 2.9980389043e-01
6.3445000000e+03 2.9979872077e-01
6.3445250000e+03 2.9979330709e-01
