# Component: primary
# Region: (6500.0,6600.0)
# KOREL: False
# Parameters: {'rv': 19.9864936135, 'teff': 25000.0, 'vrot': 150.0, 'logg': 4.2, 'lr': 0.7, 'z': 1.0}
6.5000000000e+03 6.9981152898e-01
6.5000250000e+03 6.9980321496e-01
6.5000500000e+03 6.9979490093e-01
6.5000750000e+03 6.9978658691e-01
6.5001000000e+03 6.9977827288e-01
6.5001250000e+03 6.9976995886e-01
6.5001500000e+03 6.9976164484e-01
6.5001750000e+03 6.9975333081e-01
6.5002000000e+03 6.9974501680e-01
6.5002250000e+03 6.9973670272e-01
6.5002500000e+03 6.9972838887e-01
6.5002750000e+03 6.9972007421e-01
6.5003000000e+03 6.9971176257e-01
6.5003250000e+03 6.9970343965e-01
6.5003500000e+03 6.9969515882e-01
6.5003750000e+03 6.9968672089e-01
6.5004000000e+03 6.9967886932e-01
6.5004250000e+03 6.9966882930e-01
6.5004500000e+03 6.9966491622e-01
6.5004750000e+03 6.9965978429e-01
6.5005000000e+03 6.9965535753e-01
6.5005250000e+03 6.9965060308e-01
6.5005500000e+03 6.9964574353e-01
6.5005750000e+03 6.9964068928e-01
6.5006000000e+03 6.9963548053e-01
6.5006250000e+03 6.9963016875e-01
6.5006500000e+03 6.9962482226e-01
6.5006750000e+03 6.9961949230e-01
6.5007000000e+03 6.9961420439e-01
6.5007250000e+03 6.9960896169e-01
6.5007500000e+03 6.9960375671e-01
6.5007750000e+03 6.9959857936e-01
6.5008000000e+03 6.9959342135e-01
6.5008250000e+03 6.9958827476e-01
6.5008500000e+03 6.9958312682e-01
6.5008750000e+03 6.9957795254e-01
6.5009000000e+03 6.9957270495e-01
6.5009250000e+03 6.9956731201e-01
6.5009500000e+03 6.9956169300e-01
6.5009750000e+03 6.9955579347e-01
6.5010000000e+03 6.9954962129e-01
6.5010250000e+03 6.9954325340e-01
6.5010500000e+03 6.9953680371e-01
6.5010750000e+03 6.9953037484e-01
6.5011000000e+03 6.9952402664e-01
6.5011250000e+03 6.9951777629e-01
6.5011500000e+03 6.9951161605e-01
6.5011750000e+03 6.9950552917e-01
6.5012000000e+03 6.9949950039e-01
6.5012250000e+03 6.9949351852e-01
6.5012500000e+03 6.9948757605e-01
6.5012750000e+03 6.9948166731e-01
6.5013000000e+03 6.9947578734e-01
6.5013250000e+03 6.9946993213e-01
6.5013500000e+03 6.9946409921e-01
6.5013750000e+03 6.9945828604e-01
6.5014000000e+03 6.9945248983e-01
6.5014250000e+03 6.9944670752e-01
6.5014500000e+03 6.9944093321e-01
6.5014750000e+03 6.9943515569e-01
6.5015000000e+03 6.9942934969e-01
6.5015250000e+03 6.9942346283e-01
6.5015500000e+03 6.9941740267e-01
6.5015750000e+03 6.9941103130e-01
6.5016000000e+03 6.9940418562e-01
6.5016250000e+03 6.9939672259e-01
6.5016500000e+03 6.9938856154e-01
6.5016750000e+03 6.9937969739e-01
6.5017000000e+03 6.9937017139e-01
6.5017250000e+03 6.9936002533e-01
6.5017500000e+03 6.9934927819e-01
6.5017750000e+03 6.9933794608e-01
6.5018000000e+03 6.9932608061e-01
6.5018250000e+03 6.9931379437e-01
6.5018500000e+03 6.9930125563e-01
6.5018750000e+03 6.9928865406e-01
6.5019000000e+03 6.9927615911e-01
6.5019250000e+03 6.9926389246e-01
6.5019500000e+03 6.9925192100e-01
6.5019750000e+03 6.9924026351e-01
6.5020000000e+03 6.9922890639e-01
6.5020250000e+03 6.9921782139e-01
6.5020500000e+03 6.9920697721e-01
6.5020750000e+03 6.9919634537e-01
6.5021000000e+03 6.9918590250e-01
6.5021250000e+03 6.9917563053e-01
6.5021500000e+03 6.9916551540e-01
6.5021750000e+03 6.9915554596e-01
6.5022000000e+03 6.9914571282e-01
6.5022250000e+03 6.9913600870e-01
6.5022500000e+03 6.9912642773e-01
6.5022750000e+03 6.9911696405e-01
6.5023000000e+03 6.9910761293e-01
6.5023250000e+03 6.9909837074e-01
6.5023500000e+03 6.9908923417e-01
6.5023750000e+03 6.9908020018e-01
6.5024000000e+03 6.9907126608e-01
6.5024250000e+03 6.9906242954e-01
6.5024500000e+03 6.9905368850e-01
6.5024750000e+03 6.9904504142e-01
6.5025000000e+03 6.9903648671e-01
6.5025250000e+03 6.9902802216e-01
