# group: 1 2 3 1 2 3 
# component: primary primary primary secondary secondary secondary 
# name: rv rv rv rv rv rv 

23.6607290501 -69.5531010784 44.6808210426 91.3567382588 -88.3315013304 58.0695733815 2194834.4822 
-48.837003968 30.7200994047 21.3582336392 56.5773153415 -59.5067927828 61.6114938297 869062.159748 
-15.4797509443 -5.26688542303 70.5191950036 -75.3045185282 -83.7796151724 13.8580946321 1414792.062 
71.3413492536 -13.8892220341 4.16243633117 -72.9407438779 76.5680658999 46.3373838125 797813.17213 
97.9507885621 109.814635487 95.5671565517 -36.1007267341 63.6845785989 93.0913866514 2551038.22838 
20.8643832818 65.5235451303 116.217465776 -114.351614217 -95.5547220091 -77.9441518585 775654.659545 
83.5985163811 -97.3397202461 45.5600025056 -79.984830706 13.9453736736 -66.9010007814 1324528.32885 
-77.1215241277 -113.023817161 -117.303461862 36.7281210577 25.0035069215 -60.3075141353 4262512.45741 
-66.1397938134 -94.8264148652 -60.6097519995 -53.2028642443 112.234865971 85.6100404554 2252837.3502 
48.2405687905 -11.0197724867 -97.1048699658 38.3313888751 -86.1666157891 -18.2093013954 2728160.0853 
53.8500136217 -63.0115673728 -66.0458198477 22.0564043704 98.7114192568 23.151871574 1747728.38795 
29.4722952882 -52.2724093194 -28.1127229504 -48.8784949201 -1.00955556504 72.4537396352 816171.602007 
2.04279782583 73.3312637919 -91.1959183639 -67.8942968935 -12.0413435084 -106.579800931 3025016.85104 
98.9478193258 59.7858296177 72.5445859793 -84.4885279269 0.35100554631 -64.770091461 694752.214012 
116.328988388 117.181466467 -72.2252970669 -34.3976209622 -78.0182710253 -11.892479692 2673201.70296 
-26.0497967699 -49.9935715986 -16.3104880538 18.4984644113 -108.899859029 30.4416238118 2246050.97725 
-105.83005386 91.9350256143 -49.8989074958 12.4778377703 -18.6154883797 48.9655554009 2343417.57142 
-78.430167126 106.445699738 50.0239530522 109.177898937 58.95361409 -86.6172566369 2147093.08529 
35.8142059719 5.6173365024 -7.91615113977 70.4153135942 107.776897775 68.4755628035 1169940.6109 
-107.78002848 -91.5767693345 41.7828831477 77.5057165609 57.080079219 -33.9078794648 1997993.66389 
-116.455746423 84.5333953665 12.9999108143 -81.0362004284 -42.7346672693 -29.4820355837 3400834.40393 
68.7693010653 98.8519851722 20.6113544695 -46.294935651 -25.1029032718 8.39479023462 1097664.46786 
65.281068708 -33.656184915 -45.7144657958 52.0591752554 -110.145587842 101.272665828 1869145.11788 
38.5791168626 -117.82542267 117.838649623 -106.70993714 105.64986709 -49.2471163201 1481304.29208 
-37.2454792343 -1.4702998452 -19.8054228592 88.3110486324 -92.8840286412 7.96024349206 1477815.76117 
-17.8050318931 -72.2389442179 -29.6468646244 31.9992148308 -114.765944741 113.156551399 2239107.75004 
78.1268970722 -84.4142804921 62.4184329577 83.6723955279 55.1526175707 88.1296895258 1962258.8012 
41.6166810963 -85.4109190879 -61.5448383013 -6.07772084071 -82.2813668188 117.434061779 2111050.79632 
91.858400209 70.6042518279 -54.4489913264 45.1949229075 -65.882471004 82.5472365274 1523520.61299 
119.675734151 -54.8987450658 -119.360934015 102.340812966 116.478868927 -98.8620467594 5014758.61439 
-73.1141746915 -75.007707344 90.8169250711 -26.6269556458 -37.5466128614 28.4764942167 2351687.03051 
-50.7789211019 67.6315547387 -77.8555776229 27.9207139311 -35.1907131276 20.2959653911 1853175.53948 
76.7410433938 102.199756079 -99.1218080371 2.92956081911 41.5689349827 114.69883203 2201259.02022 
43.1087042865 119.084344986 -14.8863438399 -110.163392741 -100.002927511 34.3832791024 1777755.41792 
3.84607777234 -108.519992683 59.1244964521 -70.1991883662 -15.8020780968 -116.737346448 1641743.37788 
-45.245278669 -57.2103623434 54.2748268127 105.603955154 -114.221519058 -75.1832792901 1884796.76972 
12.396638718 81.6669727556 -108.337986066 63.9947178255 93.9442374601 -27.110916883 3710772.20429 
27.7746437551 -104.067949224 -39.0538328117 60.5538649866 46.0843516208 -63.8358912872 2467690.80462 
-111.20319873 0.235592095734 -75.3721697703 -90.114107245 84.4672007423 103.528538266 3231025.94058 
46.3031028892 38.8411390099 98.865363934 50.2918676812 11.0827363757 -112.405566013 566291.215986 
-56.9439236838 -64.9647583108 78.9669788045 -86.5077930873 -32.2390335407 104.114082876 2592394.67215 
-10.2635864369 36.5167334712 17.6222639705 118.024395606 6.03329559514 79.1020138396 641310.421855 
93.5308462184 -31.8514917872 -23.5415592756 -118.890884819 -118.306991038 -57.8822423472 2557660.91836 
16.1997885759 -26.5352347047 29.9915061811 80.4388911063 -10.3892199002 16.4354720668 944380.342043 
-97.5138357039 18.7610795794 101.975772289 -95.722091563 23.2351914835 -90.7173327664 2381354.66566 
62.5040502884 -80.9475930509 -1.44895120383 -97.3315193962 -46.5366099946 65.0716859523 1673038.52933 
8.08134073742 -68.7219173935 6.84833262028 -91.4416304155 82.2772230728 60.8259030841 1202086.82764 
89.0839887541 23.0980280026 10.4583504542 97.8323231007 37.2808706163 -26.5685007121 2107550.7188 
-22.1288237741 15.6825701614 -104.527261201 54.4074494987 77.440692024 97.2132998578 1414274.42941 
-81.1904456523 16.8492384116 1.8084365931 45.726144966 18.8946045423 -40.4310137 1588548.53069 
103.18483588 -78.1034670106 -89.896597263 -41.4802211657 -30.3248735833 -15.9656711625 2861892.43014 
-7.14166525306 51.0438039876 -34.9238977269 -19.5181407412 98.6136684941 0.418356460684 2087546.294 
-18.9607064676 -16.8939826348 38.8058735495 -60.0402978287 4.1450777421 -7.11277918888 1067853.56898 
-101.616801864 -117.092670025 -33.7517330436 41.2841916836 -5.95872368701 -119.880088368 3625043.64796 
-40.6371463779 -102.695435364 -42.8265382066 32.5195117642 103.651790379 39.2023694651 1927845.30466 
-83.6865260616 76.465246046 -9.31893988256 1.64566694023 16.38990647 45.0601658053 2031999.01668 
